# Formula	Conservative build-time estimate in seconds
# Measured floors, not guesses: entries are raised automatically when a build
# finishes, when a build is killed by the per-build cap, and when the job is
# cancelled mid-build. Anything whose padded estimate no longer fits a shared
# window is skipped (or deferred if something later needs it) and has to be
# built by a dedicated dispatch with only_package=<pkg>.
# llvm measured: started at +8m, killed by the job timeout at 5h50m (>= 340m).
llvm	21600
llvm@22	21600
node	9853
openssl@3	1046
go	312
sdl3	110
sdl2-compat	40
rtk	554
simdjson	40
rclone	306
docker	99
docker-compose	83
pkgconf	37
python@3.13	563
simdutf	105
yt-dlp	307
rust	4531
pycparser	45
cffi	28
cmake	1804
c-ares	103
ca-certificates	5
libssh2	52
readline	51
sqlite	66
json-c	40
libunistring	304
gettext	707
libidn2	67
m4	168
autoconf	18
automake	21
libtool	40
oniguruma	29
mpdecimal	17
xz	66
lz4	10
zstd	33
python@3.14	506
certifi	16
nasm	40
jpeg-turbo	147
giflib	11
libpng	88
webp	52
libtiff	51
little-cms2	33
z3	975
ninja	66
